en-de	gold	0	(PERSON2) Ja, das ist das einzige, was ich für positive Einschränkungen getan habe.	( PERSON2 ) Ja , das ist das einzige , was ich für positive Einschränkungen getan habe . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	90	Oh, ganz sicher, ich kann dir meine Logs abwerfen.	Oh , ganz sicher , ich kann dir meine Logs abwerfen . <EOS>	BAD OK OK OK OK OK OK BAD OK OK OK OK OK
en-de	gold	91	(PERSON7) Aber in welchen Sprachen?	( PERSON7 ) Aber in welchen Sprachen ? <EOS>	OK OK OK OK OK OK OK OK OK
en-de	gold	92	Weil du weißt, dass ich kein Deutsch spreche.	Weil du weißt , dass ich kein Deutsch spreche . <EOS>	OK BAD BAD OK OK OK OK OK OK OK OK
en-de	gold	93	(PERSON2) Englisch und Deutsch.	( PERSON2 ) Englisch und Deutsch . <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	94	Ja, aber ich spreche nicht unbedingt Deutsch.	Ja , aber ich spreche nicht unbedingt Deutsch . <EOS>	BAD OK BAD OK OK OK OK OK OK OK
en-de	gold	95	(PERSON2) Dann kann ich Englisch  Chinesisch und English Japanisch anbieten, wenn es hilft.	( PERSON2 ) Dann kann ich Englisch Chinesisch und English Japanisch anbieten , wenn es hilft . <EOS>	BAD OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK
en-de	gold	96	(PERSON2) Also wieder, ich will es menschlich lesbar machen.	( PERSON2 ) Also wieder , ich will es menschlich lesbar machen . <EOS>	OK OK OK OK BAD OK OK OK OK OK OK OK OK OK
en-de	gold	97	Denn dieses Flimmern ist wirklich nervig und dann verlieren Sie die Konzentration auf das, was tatsächlich gesagt wurde, denn vielleicht ist dies auch eine Frage von jemandem, der mehr über das menschliche Gehirn weiß und wie wir mit Informationen arbeiten.	Denn dieses Flimmern ist wirklich nervig und dann verlieren Sie die Konzentration auf das , was tatsächlich gesagt wurde , denn vielleicht ist dies auch eine Frage von jemandem , der mehr über das menschliche Gehirn weiß und wie wir mit Informationen arbeiten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	98	Tut mir leid, ich habe nie darüber nachgedacht.	Tut mir leid , ich habe nie darüber nachgedacht . <EOS>	OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	99	Aber ich denke, dass ich jedes Mal, wenn ich ein Wort sehe, es in mein Gedächtnis einfüge und das ist keine lineare Sache, sondern eher wie eine Tasche.	Aber ich denke , dass ich jedes Mal , wenn ich ein Wort sehe , es in mein Gedächtnis einfüge und das ist keine lineare Sache , sondern eher wie eine Tasche . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	100	Also habe ich ein Wort in eine Tasche gesteckt.	Also habe ich ein Wort in eine Tasche gesteckt . <EOS>	OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	101	Und ich verbinde gerne die Dinge in der Tasche, um das Gesamtbild des Wortes zu bekommen.	Und ich verbinde gerne die Dinge in der Tasche , um das Gesamtbild des Wortes zu bekommen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	102	Und ich denke, das ist das Problem mit dem Flimmern.	Und ich denke , das ist das Problem mit dem Flimmern . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	103	Wenn man etwas übersetzt und dann ändert, dann habe ich es bereits gelesen, es ist in meinem Gehirn.	Wenn man etwas übersetzt und dann ändert , dann habe ich es bereits gelesen , es ist in meinem Gehirn . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	104	Und dann verliere ich die Konzentration und die Kontrolle über das, was dann als richtig übersetzt wurde und nicht das war was nicht war.	Und dann verliere ich die Konzentration und die Kontrolle über das , was dann als richtig übersetzt wurde und nicht das war was nicht war . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	105	Deshalb denke ich, dass das ganze Flimmern per Definition schlecht und dumm ist.	Deshalb denke ich , dass das ganze Flimmern per Definition schlecht und dumm ist . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	106	Als ob ich die Motivation sehe, als ob du alles zeigen willst, was du hast.	Als ob ich die Motivation sehe , als ob du alles zeigen willst , was du hast . <EOS>	BAD BAD OK BAD BAD BAD OK BAD BAD OK OK OK OK OK OK OK OK OK OK
en-de	gold	107	Obwohl du nicht versprechen kannst, dass es gut ist.	Obwohl du nicht versprechen kannst , dass es gut ist . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	108	Aber ich glaube, wir können mit diesen zusätzlichen Informationen nicht arbeiten.	Aber ich glaube , wir können mit diesen zusätzlichen Informationen nicht arbeiten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	109	Und ich denke, das Problem ist, dass die Systeme von Menschen geschaffen werden, die damit arbeiten.	Und ich denke , das Problem ist , dass die Systeme von Menschen geschaffen werden , die damit arbeiten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	110	Wenn ich ein System entwickeln, dann bin ich wirklich verrückt glücklich, wenn ich sehe, dass selbst wenn Ich nicht verspreche, die Übersetzung korrekt ist, ich immer noch zeigen es und es ist irgendwie gut, aber ich denke, daß der Entwickler nicht wirklich auf den Inhalt selbst konzentriert.	Wenn ich ein System entwickeln , dann bin ich wirklich verrückt glücklich , wenn ich sehe , dass selbst wenn Ich nicht verspreche , die Übersetzung korrekt ist , ich immer noch zeigen es und es ist irgendwie gut , aber ich denke , daß der Entwickler nicht wirklich auf den Inhalt selbst konzentriert . <EOS>	OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK BAD OK OK OK BAD OK OK OK OK OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK
en-de	gold	111	Und wie man den Inhalt wahrnimmt, aber eher, oh ja, mein System kann es sehr schnell herausgeben.	Und wie man den Inhalt wahrnimmt , aber eher , oh ja , mein System kann es sehr schnell herausgeben . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	112	Und obwohl es nur vermutet, dass die Qualität okay ist, denke ich, vielleicht ist das der Grund, warum die Wiederübersetzung erstellt wurde.	Und obwohl es nur vermutet , dass die Qualität okay ist , denke ich , vielleicht ist das der Grund , warum die Wiederübersetzung erstellt wurde . <EOS>	OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	113	Nur die Entwickler der Systeme sind begierig darauf, Informationen anzuzeigen, und ich denke, weil wir begrenzt sind in wie das Volumen der Informationen, die wir einige Zeit wahrnehmen können, möchten wir sehen, dass die zusätzlichen Informationen nur eine zusätzliche Belastung für uns ist.	Nur die Entwickler der Systeme sind begierig darauf , Informationen anzuzeigen , und ich denke , weil wir begrenzt sind in wie das Volumen der Informationen , die wir einige Zeit wahrnehmen können , möchten wir sehen , dass die zusätzlichen Informationen nur eine zusätzliche Belastung für uns ist . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK
en-de	gold	114	Also, ich denke, dass es nicht gut ist, extra zu zeigen.	Also , ich denke , dass es nicht gut ist , extra zu zeigen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	115	Wenn man die Latenzzeit verringern will, dann, anstatt zu flimmern, senkt man einfach die Qualität.	Wenn man die Latenzzeit verringern will , dann , anstatt zu flimmern , senkt man einfach die Qualität . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	116	Ich denke, das ist immer noch besser, als das Flimmern zu zeigen.	Ich denke , das ist immer noch besser , als das Flimmern zu zeigen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	117	Denn was wäre der eigentliche Anwendungsfall?	Denn was wäre der eigentliche Anwendungsfall ? <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	118	Warum sollten Sie die instabile Hypothese wirklich sehen?	Warum sollten Sie die instabile Hypothese wirklich sehen ? <EOS>	OK OK OK OK OK OK BAD OK OK OK
en-de	gold	119	Wie aus der Sicht des Nutzers?	Wie aus der Sicht des Nutzers ? <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	120	(PERSON1) Technisch gesehen, wenn menschliche Übersetzer anfangen zu übersetzen, meine ich das Ziel, das es auch für Annotatoren gibt, würden sie versuchen, der Sprachfolge des Originalsprechers zu folgen.	( PERSON1 ) Technisch gesehen , wenn menschliche Übersetzer anfangen zu übersetzen , meine ich das Ziel , das es auch für Annotatoren gibt , würden sie versuchen , der Sprachfolge des Originalsprechers zu folgen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK OK
en-de	gold	121	Es gab also Zeiten, in denen sie etwas sagten, und das wäre falsch, also korrigierten sie sich einfach.	Es gab also Zeiten , in denen sie etwas sagten , und das wäre falsch , also korrigierten sie sich einfach . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK
en-de	gold	122	(PERSON2) Nun, aber ja das bedeutet mit meiner Lösung, wie würden Sie nicht flimmern, sondern Sie verpflichtet, als gibt es keine Möglichkeit, sich zu ändern, Aber Sie korrigieren sich.	( PERSON2 ) Nun , aber ja das bedeutet mit meiner Lösung , wie würden Sie nicht flimmern , sondern Sie verpflichtet , als gibt es keine Möglichkeit , sich zu ändern , Aber Sie korrigieren sich . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD OK OK BAD OK BAD OK BAD OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK
en-de	gold	123	Und genau das tun die Übersetzer.	Und genau das tun die Übersetzer . <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	124	Also sehe ich diese Messe als eine wichtige mögliche Quelle für nicht englische Sprache, die wir verwenden können, um den Test zu erweitern.	Also sehe ich diese Messe als eine wichtige mögliche Quelle für nicht englische Sprache , die wir verwenden können , um den Test zu erweitern . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	125	"Ich denke, wir sollten uns wirklich auf den ""Clearest Voice""-Wettbewerb konzentrieren, und wir können den Stand machen, wenn wir müssen."	"Ich denke , wir sollten uns wirklich auf den "" Clearest Voice "" -Wettbewerb konzentrieren , und wir können den Stand machen , wenn wir müssen . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	126	Aber ich möchte das beschränken, denn die Verbreitung in die Highschool-Studenten hat für uns weniger Auswirkungen.	Aber ich möchte das beschränken , denn die Verbreitung in die Highschool-Studenten hat für uns weniger Auswirkungen . <EOS>	OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK
en-de	gold	127	Es ist wichtiger, es als Testsitzung zu verwenden.	Es ist wichtiger , es als Testsitzung zu verwenden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	128	Also sollten wir uns auf [PERSON1] konzentrieren und die Organisatoren zufrieden halten, damit wir die Datenerhebung dort durchführen können.	Also sollten wir uns auf [ PERSON1 ] konzentrieren und die Organisatoren zufrieden halten , damit wir die Datenerhebung dort durchführen können . <EOS>	BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	129	Und wir tun, was sie wollen, dass wir im Gegenzug tun. Wir müssen ihr Plenarprogramm überprüfen, und welche Art von Untertiteln wäre nützlich für dieses Programm. Das würde es zu einer Testsitzung für uns machen. Und was unsere eigene Präsenz auf dieser Messe angeht, denke ich nicht, es ist zu wichtig.	Und wir tun , was sie wollen , dass wir im Gegenzug tun . Wir müssen ihr Plenarprogramm überprüfen , und welche Art von Untertiteln wäre nützlich für dieses Programm . Das würde es zu einer Testsitzung für uns machen . Und was unsere eigene Präsenz auf dieser Messe angeht , denke ich nicht , es ist zu wichtig . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	130	Wenn man uns also fragt, ob wir wirklich da sein und anwesend sein sollen, dann ist das in Ordnung, aber wenn nicht, denke ich, dass es definitiv gut für uns ist, hinter dem Vorhang und hinter den Kulissen zu bleiben und dort unseren Job zu machen.	Wenn man uns also fragt , ob wir wirklich da sein und anwesend sein sollen , dann ist das in Ordnung , aber wenn nicht , denke ich , dass es definitiv gut für uns ist , hinter dem Vorhang und hinter den Kulissen zu bleiben und dort unseren Job zu machen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	131	Ja, ich habe noch nicht versucht, mich dafür anzumelden, aber ich glaube, das letzte Mal war es obligatorisch, den Stand zu haben.	Ja , ich habe noch nicht versucht , mich dafür anzumelden , aber ich glaube , das letzte Mal war es obligatorisch , den Stand zu haben . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	132	(PERSON2) Ja, das ist er.	( PERSON2 ) Ja , das ist er . <EOS>	OK OK OK OK OK BAD BAD BAD OK OK
en-de	gold	133	Also diskutieren Sie mit ihnen, was nötig ist, damit sie glücklich sind, und sie erlauben uns, die klarste Stimme zu machen, das ist das Wichtigste.	Also diskutieren Sie mit ihnen , was nötig ist , damit sie glücklich sind , und sie erlauben uns , die klarste Stimme zu machen , das ist das Wichtigste . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	134	Die Testsitzung ist weniger ein Drang.	Die Testsitzung ist weniger ein Drang . <EOS>	OK OK OK BAD BAD BAD OK OK
en-de	gold	135	Und die Kabine ist etwas, das wir wirklich vermeiden könnten, wenn möglich.	Und die Kabine ist etwas , das wir wirklich vermeiden könnten , wenn möglich . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	136	Und dann, ich stimme zu, dass es eine Menge Lärm in diesem Wörterbuch.	Und dann , ich stimme zu , dass es eine Menge Lärm in diesem Wörterbuch . <EOS>	OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK OK OK BAD
en-de	gold	137	Also habe ich gebeten, dass Sie verschiedene Versionen dieses Wörterbuchs haben, indem Sie nur die Worte nehmen, die fünfmal beobachtet wurden.	Also habe ich gebeten , dass Sie verschiedene Versionen dieses Wörterbuchs haben , indem Sie nur die Worte nehmen , die fünfmal beobachtet wurden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	138	Und nur die Aussprachen, die drei Mal oder mehr beobachtet wurden, oder so.	Und nur die Aussprachen , die drei Mal oder mehr beobachtet wurden , oder so . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	139	So, auf diese Weise, diese zufälligen Fehler, wie das Beispiel mit diesem vier IBM statt IBM.	So , auf diese Weise , diese zufälligen Fehler , wie das Beispiel mit diesem vier IBM statt IBM . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	140	Das wird nicht so häufig passieren.	Das wird nicht so häufig passieren . <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	141	"Aber trotzdem werden Sie die Varianten in der Aussprache haben, denn wenn die Person, sagt dies """"alzo"""", wenn Sie sich erinnern, wenn er sagt, dass """"Alzo"""" mit einem """"Z"""" 20 Mal in den in dem Gespräch, dann Sie werden das sehen, in die Daten mit dem """" Z""""."	"Aber trotzdem werden Sie die Varianten in der Aussprache haben , denn wenn die Person , sagt dies "" "" alzo "" "" , wenn Sie sich erinnern , wenn er sagt , dass "" "" Alzo "" "" mit einem "" "" Z "" "" 20 Mal in den in dem Gespräch , dann Sie werden das sehen , in die Daten mit dem "" "" Z "" "" . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK
en-de	gold	142	Und wenn er es manchmal auch richtig sagen kann, dann ja, wieder, werden Sie das in den Daten sehen.	Und wenn er es manchmal auch richtig sagen kann , dann ja , wieder , werden Sie das in den Daten sehen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK BAD BAD BAD OK OK OK OK OK OK
en-de	gold	143	Ich möchte also, dass [PERSON4] in Kontakt mit [PERSON2] tritt.	Ich möchte also , dass [ PERSON4 ] in Kontakt mit [ PERSON2 ] tritt . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	144	Vielleicht kannst du weiter anrufen, oder?	Vielleicht kannst du weiter anrufen , oder ? <EOS>	OK BAD BAD OK OK OK OK OK OK
en-de	gold	145	Ich muss jetzt gehen, weil ich den Kindern Mittagessen geben muss und so weiter.	Ich muss jetzt gehen , weil ich den Kindern Mittagessen geben muss und so weiter . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	146	Aber bleiben Sie bitte bei diesem Anruf und finden Sie gemeinsam heraus, wie man dieses Wörterbuch benutzt.	Aber bleiben Sie bitte bei diesem Anruf und finden Sie gemeinsam heraus , wie man dieses Wörterbuch benutzt . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	147	Also, [PERSON4], bitte zeigen, was das Wörterbuch ist, dass das System akzeptiert.	Also , [ PERSON4 ] , bitte zeigen , was das Wörterbuch ist , dass das System akzeptiert . <EOS>	OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK
en-de	gold	148	Teilen Sie Ihren Bildschirm und zeigen Sie ihn.	Teilen Sie Ihren Bildschirm und zeigen Sie ihn . <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	149	Und [PERSON2], bitte schauen Sie sich das an und helfen Sie mir, das Wörterbuch zu konvertieren das Sie in diese Datei gesendet haben.	Und [ PERSON2 ] , bitte schauen Sie sich das an und helfen Sie mir , das Wörterbuch zu konvertieren das Sie in diese Datei gesendet haben . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK
en-de	gold	150	Eine Sache, die noch benötigt wird, ist der Ersatz des Sprachmodells.	Eine Sache , die noch benötigt wird , ist der Ersatz des Sprachmodells . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	151	Aber all diese Worte sollten bekannte Worte sein.	Aber all diese Worte sollten bekannte Worte sein . <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	152	Also [PERSON4], Sie müssen herausfinden, welche Wörter im Sprachmodell sind.	Also [ PERSON4 ] , Sie müssen herausfinden , welche Wörter im Sprachmodell sind . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	153	Und die Wörter, die im Sprachmodell sind, sollten einfach kopiert werden.	Und die Wörter , die im Sprachmodell sind , sollten einfach kopiert werden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
